"TimeCreated","EventID","Level","Source","LogName","SyncStatus","Message"
"9/19/2025 5:57:54 AM","66","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Policy update: Latency mode - normal"
"9/19/2025 5:57:49 AM","35","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Communication quotas are updated. Disk quota in MB: 99, daily upload quota in MB: 99"
"9/19/2025 5:57:49 AM","53","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Cloud configuration loaded from persistent storage, version: 10.8805.18_9_2025.2025.09.18.02-a81a0d7e74f1940628151e7f7e9257e3d786cf79."
"9/19/2025 5:55:03 AM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlpwebsitespolicyconfiguration. Policy Hash: 638932158538275308-765513cb7ed255f551fc2b636c5739e1b1cd9d84"
"9/19/2025 5:55:03 AM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlpwebsitespolicyconfiguration. Policy Hash: 638932158538275308-765513cb7ed255f551fc2b636c5739e1b1cd9d84"
"9/19/2025 5:55:03 AM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlpsensitiveinfotypesconfiguration. Policy Hash: 638932049239802985-6a549edaba68cd46ccd3f3a92bdfb42a39061653"
"9/19/2025 5:55:00 AM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlpsensitiveinfotypesconfiguration. Policy Hash: 638932049239802985-6a549edaba68cd46ccd3f3a92bdfb42a39061653"
"9/19/2025 5:55:00 AM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlppolicyconfiguration. Policy Hash: 638929266290000000-bea4fa45a81fe987580c202490bbb194bcde9939"
"9/19/2025 5:54:58 AM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlppolicyconfiguration. Policy Hash: 638929266290000000-bea4fa45a81fe987580c202490bbb194bcde9939"
"9/19/2025 5:53:26 AM","50","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","New cloud configuration applied successfully. Version: 10.8805.18_9_2025.2025.09.18.02-a81a0d7e74f1940628151e7f7e9257e3d786cf79."
"9/19/2025 5:53:25 AM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: ActionsOverridePolicy. Policy Hash: af6d6373b9575bce98f3a0163d8586d54c9d80bd"
"9/19/2025 5:53:25 AM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: ActionsOverridePolicy. Policy Hash: af6d6373b9575bce98f3a0163d8586d54c9d80bd"
"9/19/2025 5:52:56 AM","66","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Policy update: Latency mode - normal"
"9/19/2025 5:52:56 AM","35","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Communication quotas are updated. Disk quota in MB: 99, daily upload quota in MB: 99"
"9/19/2025 5:47:51 AM","66","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Policy update: Latency mode - normal"
"9/19/2025 5:47:44 AM","53","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Cloud configuration loaded from persistent storage, version: 0.0.0.0."
